-0.03,0.29,0.95,116,106,82,61,68,842,0,1,1,1
-0.07,0.26,0.97,105,109,82,61,66,847,0,1,1,1
-0.10,0.26,0.97,122,109,86,56,68,844,0,1,1,1
-0.08,0.26,0.96,122,109,82,61,66,844,0,1,1,1
-0.11,0.37,0.91,150,106,80,54,66,844,0,1,1,1
-0.22,0.47,0.87,139,106,80,56,68,844,0,1,1,1
-0.17,0.57,0.77,130,109,68,54,68,844,0,1,1,1
-0.16,0.57,0.79,133,106,80,54,74,844,0,1,1,1
-0.16,0.56,0.79,119,109,80,54,68,844,0,1,1,1
-0.14,0.57,0.76,125,109,84,54,70,844,0,1,1,1
-0.15,0.55,0.79,128,109,84,51,68,843,0,1,1,1
-0.16,0.56,0.79,136,106,80,44,68,844,0,1,1,1
-0.16,0.56,0.80,139,106,82,54,68,843,0,1,1,1
-0.13,0.59,0.77,136,109,74,54,68,845,0,1,1,1
-0.18,0.58,0.79,133,109,80,56,70,844,0,1,1,1
-0.15,0.53,0.77,119,109,80,56,64,844,0,1,1,1
