0.14,0.92,0.30,255,64,44,43,232,1022,0,1,1,0
-0.00,0.92,0.30,255,62,45,34,232,1020,0,1,1,0
0.06,0.92,0.32,255,61,45,43,233,1022,0,1,1,0
0.03,0.92,0.23,255,62,44,38,233,1021,0,1,1,0
0.09,0.93,0.32,255,64,45,41,239,1023,0,1,1,0
0.12,0.93,0.28,255,61,45,41,233,1022,0,1,1,0
0.14,0.88,0.33,255,62,48,41,232,1021,0,1,1,0
0.04,0.98,0.53,255,61,47,41,232,1023,0,1,1,0
0.12,0.89,0.41,255,67,44,41,228,1022,0,1,1,0
0.09,0.89,0.42,255,62,45,41,233,1022,0,1,1,0
0.09,0.88,0.42,255,61,45,36,228,1022,0,1,1,0
0.09,0.89,0.41,255,62,48,41,230,1021,0,1,1,0
0.08,0.88,0.44,252,62,39,40,228,1022,0,1,1,0
0.08,0.88,0.42,252,64,45,41,235,1022,0,1,1,0
0.09,0.91,0.39,255,56,45,41,230,1019,0,1,1,0
0.08,0.90,0.41,255,62,47,41,228,1020,0,1,1,0
0.08,0.90,0.41,249,62,45,41,225,1023,0,1,1,0
0.08,0.85,0.39,255,62,50,38,228,1022,0,1,1,0
0.02,0.91,0.37,255,62,48,40,230,1023,0,1,1,0
0.01,0.90,0.33,255,64,47,41,225,1022,0,1,1,0
-0.05,0.95,0.30,255,64,47,41,228,1022,0,1,1,0
0.04,0.94,0.37,255,64,47,38,235,1020,0,1,1,0
0.08,0.88,0.35,255,64,47,41,237,1021,0,1,1,0
0.11,0.91,0.38,255,62,45,40,235,1022,0,1,1,0
0.09,0.91,0.37,255,62,47,43,232,1021,0,1,1,0
0.12,0.89,0.40,249,62,47,43,232,1022,0,1,1,0
0.09,0.89,0.40,255,62,51,40,232,1022,0,1,1,0
0.06,0.90,0.41,255,62,48,40,232,1022,0,1,1,0
0.07,0.89,0.40,255,67,47,41,225,1022,0,1,1,0
0.03,0.92,0.40,255,64,47,43,230,1022,0,1,1,0
0.05,0.89,0.34,255,64,47,40,230,1020,0,1,1,0
0.08,0.89,0.41,255,62,48,41,232,1021,0,1,1,0
0.08,0.90,0.37,255,62,42,41,230,1023,0,1,1,0
0.06,0.89,0.42,255,64,47,43,230,1022,0,1,1,0
0.05,0.89,0.42,255,61,47,43,226,1022,0,1,1,0
0.07,0.89,0.39,255,62,47,43,225,1020,0,1,1,0
0.09,0.91,0.40,255,62,48,41,221,1023,0,1,1,0
0.08,0.90,0.47,255,64,48,41,219,1021,0,1,1,0
0.09,0.93,0.32,255,64,47,43,223,1023,0,1,1,0
0.08,0.86,0.47,255,62,48,38,221,1021,0,1,1,0
0.08,0.87,0.43,255,62,48,43,223,1022,0,1,1,0
0.06,0.88,0.38,255,64,44,41,221,1021,0,1,1,0
-0.02,0.97,0.32,255,64,47,41,228,1021,0,1,1,0
0.19,0.93,0.28,249,56,47,41,228,1021,0,1,1,0
-0.05,0.96,0.33,255,64,48,43,223,1021,0,1,1,0
0.16,0.97,0.33,249,62,48,43,223,1023,0,1,1,0
0.11,0.86,0.31,252,64,50,41,221,1022,0,1,1,0
